"","island","item","wh","gap","region","model","surprisal"
"321","nocomp",17,"that","gap","continuation","GPT2",19.1599984169006
"322","nocomp",17,"that","gap","continuation","GPT3",21.6303495
"323","nocomp",17,"that","gap","continuation","GRNN",22.2437576651573
"324","nocomp",17,"that","gap","continuation","JRNN",26.9806336760521
"325","nocomp",17,"that","gap","continuation","NGRAM",30.9668022330057
"326","nocomp",17,"that","nogap","embed_obj","GPT2",10.4699459075928
"327","nocomp",17,"that","nogap","embed_obj","GPT3",8.804285
"328","nocomp",17,"that","nogap","embed_obj","GRNN",25.778582572937
"329","nocomp",17,"that","nogap","embed_obj","JRNN",17.5855932235717
"330","nocomp",17,"that","nogap","embed_obj","NGRAM",25.6170947201196
"331","nocomp",17,"what","gap","continuation","GPT2",14.917535841465
"332","nocomp",17,"what","gap","continuation","GPT3",17.59430108
"333","nocomp",17,"what","gap","continuation","GRNN",19.4830830693245
"334","nocomp",17,"what","gap","continuation","JRNN",20.7745341062546
"335","nocomp",17,"what","gap","continuation","NGRAM",30.9668022330057
"336","nocomp",17,"what","nogap","embed_obj","GPT2",12.7883968353272
"337","nocomp",17,"what","nogap","embed_obj","GPT3",10.205562
"338","nocomp",17,"what","nogap","embed_obj","GRNN",30.4954891204834
"339","nocomp",17,"what","nogap","embed_obj","JRNN",27.6000566482544
"340","nocomp",17,"what","nogap","embed_obj","NGRAM",25.6170947201196
"341","nocomp",18,"that","gap","continuation","GPT2",13.0257618427277
"342","nocomp",18,"that","gap","continuation","GPT3",13.7705077
"343","nocomp",18,"that","gap","continuation","GRNN",28.0260467529297
"344","nocomp",18,"that","gap","continuation","JRNN",19.2770147323608
"345","nocomp",18,"that","gap","continuation","NGRAM",14.8846007165926
"346","nocomp",18,"that","nogap","embed_obj","GPT2",20.5250630378724
"347","nocomp",18,"that","nogap","embed_obj","GPT3",18.1190928
"348","nocomp",18,"that","nogap","embed_obj","GRNN",32.9399151802063
"349","nocomp",18,"that","nogap","embed_obj","JRNN",28.0534455776215
"350","nocomp",18,"that","nogap","embed_obj","NGRAM",37.5646137660138
"351","nocomp",18,"what","gap","continuation","GPT2",9.70174694061279
"352","nocomp",18,"what","gap","continuation","GPT3",10.7870015
"353","nocomp",18,"what","gap","continuation","GRNN",27.6380271911621
"354","nocomp",18,"what","gap","continuation","JRNN",22.5449867248535
"355","nocomp",18,"what","gap","continuation","NGRAM",14.8846007165926
"356","nocomp",18,"what","nogap","embed_obj","GPT2",24.9640393257141
"357","nocomp",18,"what","nogap","embed_obj","GPT3",18.211108
"358","nocomp",18,"what","nogap","embed_obj","GRNN",37.1503028869629
"359","nocomp",18,"what","nogap","embed_obj","JRNN",43.7872252464294
"360","nocomp",18,"what","nogap","embed_obj","NGRAM",37.5646137660138
"361","nocomp",19,"that","gap","continuation","GPT2",12.2044892311096
"362","nocomp",19,"that","gap","continuation","GPT3",15.2948384
"363","nocomp",19,"that","gap","continuation","GRNN",25.2633638381958
"364","nocomp",19,"that","gap","continuation","JRNN",16.3513154983521
"365","nocomp",19,"that","gap","continuation","NGRAM",12.5475034548197
"366","nocomp",19,"that","nogap","embed_obj","GPT2",11.9457507133484
"367","nocomp",19,"that","nogap","embed_obj","GPT3",10.8124078
"368","nocomp",19,"that","nogap","embed_obj","GRNN",17.0070157051086
"369","nocomp",19,"that","nogap","embed_obj","JRNN",15.4203946590424
"370","nocomp",19,"that","nogap","embed_obj","NGRAM",27.9849534734056
"371","nocomp",19,"what","gap","continuation","GPT2",9.64352130889893
"372","nocomp",19,"what","gap","continuation","GPT3",12.5749126
"373","nocomp",19,"what","gap","continuation","GRNN",18.8641600608826
"374","nocomp",19,"what","gap","continuation","JRNN",11.2660698890686
"375","nocomp",19,"what","gap","continuation","NGRAM",12.5475034548197
"376","nocomp",19,"what","nogap","embed_obj","GPT2",14.68075466156
"377","nocomp",19,"what","nogap","embed_obj","GPT3",13.9478407
"378","nocomp",19,"what","nogap","embed_obj","GRNN",23.3963809013366
"379","nocomp",19,"what","nogap","embed_obj","JRNN",19.3802237510681
"380","nocomp",19,"what","nogap","embed_obj","NGRAM",27.9849534734056
"381","nocomp",20,"that","gap","continuation","GPT2",10.8494148254394
"382","nocomp",20,"that","gap","continuation","GPT3",11.5722855
"383","nocomp",20,"that","gap","continuation","GRNN",25.973222732544
"384","nocomp",20,"that","gap","continuation","JRNN",18.5512180328369
"385","nocomp",20,"that","gap","continuation","NGRAM",19.6348488500844
"386","nocomp",20,"that","nogap","embed_obj","GPT2",10.6370143890381
"387","nocomp",20,"that","nogap","embed_obj","GPT3",9.0640356
"388","nocomp",20,"that","nogap","embed_obj","GRNN",17.4627170562744
"389","nocomp",20,"that","nogap","embed_obj","JRNN",12.3481135368347
"390","nocomp",20,"that","nogap","embed_obj","NGRAM",22.0661749500981
"391","nocomp",20,"what","gap","continuation","GPT2",10.4458498954773
"392","nocomp",20,"what","gap","continuation","GPT3",11.4061217
"393","nocomp",20,"what","gap","continuation","GRNN",26.1009302139282
